id,activity,datetime,data
1,a,01.04.21 22:10,number_1=2; number_2=1; number_3=2
1,b,01.04.21 22:11,
1,d,01.04.21 22:12,number_4=4
1,f,01.04.21 22:13,
1,g,01.04.21 22:14,
2,a,01.04.21 22:10,number_1=2; number_2=2; number_3=2
2,b,01.04.21 22:11,
2,d,01.04.21 22:12,number_4=2
2,e,01.04.21 22:13,
2,g,01.04.21 22:15,
3,a,01.04.21 22:10,number_1=3; number_2=3; number_3=4
3,c,01.04.21 22:11,
3,d,01.04.21 22:12,number_4=12
3,f,01.04.21 22:13,
3,g,01.04.21 22:15,
4,a,01.04.21 22:10,number_1=3; number_2=4; number_3=4
4,c,01.04.21 22:11,
4,d,01.04.21 22:12,number_4=16
4,f,01.04.21 22:13,
4,g,01.04.21 22:15,